PRICE,YEAR,MILEAGE,CITY,STATE,MAKE,MODEL
51976,2015,24855,1433,3,8,3019
42995,2014,30544,176,16,8,3019
52648,2015,30333,320,32,8,3019
51444,2015,23659,166,1,8,3019
16785,2008,63325,628,28,8,3019
13850,2009,70662,398,44,8,3019
10989,2007,99332,80,10,8,3019
26752,2015,26715,497,5,8,3019
9900,2007,98089,334,9,8,3019
5400,2006,133972,360,1,8,3019
7995,2008,113447,297,1,8,3019
19995,2010,72902,163,5,8,3019
15900,2011,93723,506,19,8,3019
13990,2011,61103,417,14,8,3019
13880,2011,54575,111,19,8,3019
5995,2008,131709,21,19,8,3019
40998,2015,24518,323,2,8,3019
19966,2011,61570,185,10,8,3019
27900,2013,18096,167,12,8,3019
42900,2018,2261,428,1,8,3019
30900,2016,4649,181,10,8,3019
17999,2009,75011,206,9,8,3019
44000,2017,4784,1019,9,8,3019
37995,2017,6715,43,1,8,3019
28790,2014,48933,572,28,8,3019
30995,2014,45468,145,4,8,3019
25994,2015,76657,58,9,8,3019
24690,2014,46425,664,1,8,3019
26842,2014,26532,87,19,8,3019
37995,2014,21250,442,10,8,3019
34989,2014,22690,63,19,8,3019
21495,2015,57019,287,19,8,3019
24995,2015,52260,21,14,8,3019
24680,2014,36737,167,5,8,3019
27997,2014,39863,22,3,8,3019
29750,2015,22800,1141,3,8,3019
34000,2014,30674,285,3,8,3019
37995,2014,29899,352,15,8,3019
25000,2014,43731,301,5,8,3019
23750,2015,23569,329,11,8,3019
17750,2012,59175,521,28,8,3019
26500,2015,26014,638,16,8,3019
23995,2014,39266,62,38,8,3019
19394,2014,55233,443,1,8,3019
28997,2015,24057,166,9,8,3019
24277,2014,34111,1288,10,8,3019
14995,2013,71345,319,18,8,3019
32995,2014,23000,1854,14,8,3019
15295,2013,68999,395,2,8,3019
41999,2016,44695,368,9,8,3019
37266,2014,52742,338,9,8,3019
37761,2017,5870,263,19,8,3019
22500,2014,76454,325,14,8,3019
28551,2015,16872,525,28,8,3019
7950,2005,72815,28,6,8,3019
14900,2009,70559,308,5,8,3019
29400,2013,41150,64,17,8,3019
21500,2015,41526,82,9,8,3019
43995,2014,41715,283,11,8,3019
36000,2016,19730,23,9,8,3019
38652,2015,45200,179,17,8,3019
27913,2015,33074,297,22,8,3019
19791,2012,64923,1815,14,8,3019
57991,2017,14090,254,11,8,3019
31975,2016,7349,255,28,8,3019
21816,2011,45276,205,21,8,3019
24900,2013,96026,341,17,8,3019
13480,2011,49578,30,29,8,3019
54995,2006,31448,172,5,8,3019
31500,2017,3017,309,10,8,3019
17991,2016,23537,53,21,8,3019
15989,2014,19408,198,19,8,3019
16499,2014,48075,146,1,8,3019
17422,2014,30245,541,9,8,3019
23999,2017,7242,227,9,8,3019
16540,2016,14924,313,9,8,3019
17995,2016,23526,36,17,8,3019
21500,2017,256,56,38,8,3019
25800,2017,6027,111,19,8,3019
3755,2001,191605,61,2,8,3019
13000,2012,68212,23,2,8,3019
22500,2011,66043,136,22,8,3019
40751,2016,10722,106,18,8,3019
23882,2014,41658,388,17,8,3019
41985,2017,3485,25,9,8,3019
38988,2017,14422,181,1,8,3019
32000,2014,29490,83,10,8,3019
61990,2018,179,192,9,8,3019
33898,2014,48813,511,5,8,3019
18995,2011,103705,341,22,8,3019
35495,2016,36976,380,16,8,3019
41975,2018,5,268,1,8,3019
23377,2014,41502,315,6,8,3019
34999,2017,7228,290,15,8,3019
24000,2014,43265,362,3,8,3019
33508,2016,19909,1992,5,8,3019
14329,2008,63241,98,17,8,3019
12691,2012,128188,320,5,8,3019
15989,2012,83661,266,32,8,3019
30997,2015,39594,202,38,8,3019
33995,2015,35163,91,15,8,3019
30000,2014,25725,439,2,8,3019
34198,2016,56392,595,17,8,3019
30887,2015,53460,315,29,8,3019
33257,2015,9148,443,18,8,3019
8688,2006,48756,297,5,8,3019
14685,2009,102944,954,27,8,3019
11975,2009,88511,77,5,8,3019
7200,2007,88777,1374,19,8,3019
16000,2016,35377,316,5,8,3019
13994,2013,65972,1405,9,8,3019
16995,2015,36318,437,15,8,3019
6987,2007,58959,1831,5,8,3019
10500,2009,59235,25,5,8,3019
17500,2014,69351,428,1,8,3019
8788,2011,149031,299,9,8,3019
14750,2013,52402,296,19,8,3019
17800,2014,40994,331,9,8,3019
17211,2014,25550,420,10,8,3019
16738,2014,44714,50,17,8,3019
17655,2015,13443,813,9,8,3019
28900,2015,8917,91,19,8,3019
29688,2015,22189,329,28,8,3019
22786,2015,42203,67,5,8,3019
14995,2012,86010,22,1,8,3019
13990,2011,67355,59,38,8,3017
23395,2014,27737,94,9,8,3017
35662,2016,24448,113,1,8,3017
14611,2012,70271,38,13,8,3017
33991,2017,5044,601,22,8,3017
46400,2015,26456,295,29,8,3017
26400,2017,3167,617,28,8,3017
23995,2014,38633,398,9,8,3017
12900,2009,119751,167,29,8,3016
24995,2014,43141,320,9,8,3015
22895,2014,50398,435,1,8,3015
15333,2011,61873,297,1,8,3014
31700,2013,83911,577,28,8,3014
45280,2017,3994,434,21,8,3014
33700,2014,47334,180,3,8,3014
27995,2014,32571,335,5,8,3014
25777,2014,25057,36,16,8,3014
25350,2013,24077,136,19,8,3014
17999,2012,50425,416,20,8,3014
35396,2013,54744,572,26,8,3014
16321,2011,79426,405,28,8,3014
19439,2012,76642,70,28,8,3014
37991,2017,9947,104,27,8,3014
7700,2007,140812,29,38,8,3014
24995,2015,22315,144,1,8,3014
34495,2017,11195,395,35,8,3014
35995,2015,24957,1213,9,8,3014
21566,2012,51683,248,1,8,3014
15995,2008,114573,296,42,8,3014
25150,2015,28032,136,10,8,3014
10995,2008,72264,295,9,8,3014
19995,2014,54584,201,5,8,3013
21758,2015,35709,176,28,8,3013
89000,2016,9680,32,5,8,3012
18790,2015,18702,2049,19,8,3012
21988,2006,57459,324,38,8,3012
12997,2008,70547,438,22,8,3012
7490,2007,121700,371,19,8,3012
12495,2011,73606,217,16,8,3012
9996,2011,99244,355,3,8,3012
25998,2016,23552,326,19,8,3012
34900,2016,9331,429,19,8,3012
24000,2016,26612,254,9,8,3012
41998,2016,12445,26,16,8,3012
26988,2014,21889,304,1,8,3012
24995,2014,34881,137,5,8,3012
22950,2011,38396,758,4,8,3012
23995,2011,47257,159,42,8,3012
29900,2014,30937,53,9,8,3012
17680,2015,51646,399,17,8,3012
34000,2014,63009,366,6,8,3012
31750,2014,73295,271,16,8,3012
33999,2014,31173,135,9,8,3012
34990,2016,21322,285,6,8,3012
18995,2014,39660,223,19,8,3012
21999,2013,92630,190,22,8,3012
15999,2012,102629,371,3,8,3012
29990,2015,25071,422,9,8,3012
16970,2011,63991,390,35,8,3012
10995,2007,83601,53,5,8,3012
35888,2015,32499,202,5,8,3012
10995,2008,128256,245,9,8,3012
10995,2012,76739,287,9,8,3012
19207,2017,22451,23,15,8,3012
15575,2014,22251,331,9,8,3012
14995,2008,42722,98,29,8,3012
21977,2014,41485,113,21,8,3012
18891,2014,35441,193,11,8,3012
18657,2013,21786,53,19,8,3012
17690,2014,25914,430,31,8,3012
27999,2015,17424,99,18,8,3012
22976,2015,30815,1820,19,8,3012
12880,2009,90655,81,1,8,3012
42522,2017,906,300,40,8,3011
101899,2012,12950,67,9,8,3011
99888,2012,11168,626,17,8,3011
20477,2014,10511,342,28,8,3011
10888,2009,72296,854,2,8,3011
36977,2017,9252,241,19,8,3011
37545,2017,9979,59,1,8,3011
34444,2017,15341,100,1,8,3011
42998,2014,28002,473,19,8,3011
41995,2014,47765,42,23,8,3011
39100,2015,56158,329,12,8,3011
38500,2014,35730,61,19,8,3011
34994,2014,57865,453,5,8,3011
36995,2014,34727,53,5,8,3011
33890,2014,41452,639,5,8,3011
45577,2016,22080,223,18,8,3011
32495,2014,42555,569,5,8,3011
10999,2008,88106,530,41,8,3011
15250,2013,99011,194,9,8,3011
20098,2015,52124,185,29,8,3011
9997,2008,81823,579,2,8,3011
11195,2011,90113,243,17,8,3011
13490,2009,44415,29,12,8,3011
10950,2010,104932,433,32,8,3011
9991,2008,101603,1854,17,8,3011
9987,2008,141320,21,35,8,3011
8995,2007,105637,287,17,8,3011
6500,2005,134061,268,12,8,3011
60327,2017,225,414,29,8,3011
28275,2013,32472,287,17,8,3011
15495,2011,89073,1613,5,8,3011
28900,2012,35515,834,1,8,3011
23995,2012,24746,1224,31,8,3011
7900,2004,126784,570,16,8,3011
33500,2015,34521,332,5,8,3011
13991,2012,86474,116,19,8,3011
13888,2012,69345,199,42,8,3011
30000,2015,32048,319,13,8,3011
23629,2016,36080,87,28,8,3011
29677,2016,19314,209,34,8,3011
39888,2017,4784,172,9,8,3011
43995,2017,2000,22,1,8,3011
39980,2017,401,61,14,8,3011
39167,2017,9870,368,17,8,3011
54575,2016,4331,29,41,8,3011
33998,2014,33919,493,19,8,3011
45895,2016,15496,99,29,8,3011
25449,2014,56971,322,28,8,3011
23950,2014,43300,516,1,8,3011
33950,2016,11456,89,9,8,3011
35000,2016,2502,62,41,8,3011
33488,2014,34090,10,3,8,3011
22992,2014,30517,503,28,8,3011
23498,2014,32074,505,5,8,3011
18799,2013,52845,201,35,8,3011
20999,2014,48784,293,14,8,3011
26589,2014,22059,277,10,8,3011
17989,2014,61255,398,14,8,3011
25400,2012,95178,434,5,8,3011
30987,2013,77765,559,9,8,3011
25795,2014,19718,387,9,8,3011
11496,2010,118756,312,14,8,3011
14990,2011,84373,279,19,8,3011
55493,2017,4301,77,17,8,3011
30716,2017,7433,245,1,8,3011
33884,2014,20414,83,14,8,3011
20787,2013,78729,241,38,8,3011
23980,2013,43000,444,17,8,3011
27999,2014,29267,168,9,8,3011
26995,2014,28153,248,17,8,3011
12779,2009,92915,335,2,8,3011
29890,2014,26828,61,9,8,3011
15480,2010,85337,328,9,8,3011
26563,2015,41716,83,9,8,3011
23999,2014,36655,192,14,8,3011
